siRNA,mRNA,efficacy
T1,EGFP,0.547
T2,EGFP,0.777
T3,EGFP,0.602
T4,EGFP,0.386
T5,EGFP,0.651
T6,EGFP,0.445
T7,EGFP,0.536
T8,EGFP,0.756
T9,EGFP,0.423
T10,EGFP,0.563
T11,EGFP,0.74
T12,EGFP,0.525
T13,EGFP,0.316
T14,EGFP,0.662
T15,EGFP,0.393
T16,EGFP,0.122
T17,EGFP,0.501
T18,EGFP,0.66
T19,EGFP,0.511
T20,EGFP,0.606
T21,EGFP,0.484
T22,EGFP,0.336
T23,EGFP,0.55
T24,EGFP,0.295
T25,EGFP,0.254
T26,EGFP,0.449
T27,EGFP,0.305
T28,EGFP,0.284
T29,EGFP,0.477
T30,EGFP,0.324
T31,EGFP,0.17
T32,EGFP,0.61
T33,EGFP,0.426
T34,EGFP,0.273
T35,EGFP,0.525
T36,EGFP,0.303
T37,EGFP,0.176
T38,EGFP,0.542
T39,EGFP,0.398
T40,EGFP,0.34
T41,EGFP,0.641
T42,EGFP,0.593
T43,EGFP,0.314
T44,EGFP,0.488
T45,EGFP,0.339
T46,EGFP,0.306
T47,EGFP,0.768
T48,EGFP,0.715
T49,EGFP,0.25
T50,EGFP,0.289
T51,EGFP,0.522
T52,EGFP,0.593
T53,EGFP,0.447
T54,EGFP,0.571
T55,EGFP,0.372
T56,EGFP,0.324
T57,EGFP,0.351
T58,EGFP,0.447
T59,EGFP,0.686
T60,EGFP,0.709
T61,EGFP,0.44
T62,EGFP,0.5
T63,EGFP,0.579
T64,EGFP,0.536
T65,EGFP,0.538
T66,EGFP,0.684
T67,EGFP,0.829
T68,EGFP,0.552
T69,EGFP,0.418
T70,EGFP,0.427
T71,EGFP,0.681
T72,EGFP,0.638
T73,EGFP,0.592
T74,EGFP,0.747
T75,EGFP,0.842
T76,EGFP,0.564
T77,EGFP,0.532
T78,EGFP,0.575
T79,EGFP,0.404
T80,EGFP,0.733
T81,EGFP,0.495
T82,EGFP,0.395
T83,EGFP,0.342
T84,EGFP,0.493
T85,EGFP,0.492
T86,EGFP,0.389
T87,EGFP,0.392
T88,EGFP,0.4
T89,EGFP,0.513
T90,EGFP,0.528
T91,EGFP,0.444
T92,EGFP,0.348
T93,EGFP,0.303
T94,EGFP,0.387
T95,EGFP,0.335
T96,EGFP,0.293
T97,EGFP,0.306
T98,EGFP,0.397
T99,EGFP,0.163
T100,EGFP,0.393
T101,EGFP,0.285
T102,EGFP,0.362
T103,EGFP,0.326
T104,EGFP,0.247
T105,EGFP,0.321
T106,EGFP,0.487
T107,EGFP,0.396
T108,EGFP,0.544
T109,EGFP,0.313
T110,EGFP,0.468
T111,EGFP,0.193
T112,EGFP,0.453
T113,EGFP,0.558
T114,EGFP,0.347
T115,EGFP,0.391
T116,EGFP,0.677
T117,EGFP,0.308
T118,EGFP,0.485
T119,EGFP,0.75
T120,EGFP,0.646
T121,EGFP,0.626
T122,EGFP,0.696
T123,EGFP,0.718
T124,EGFP,0.917
T125,EGFP,0.873
T126,EGFP,0.752
T127,EGFP,0.698
T128,EGFP,0.501
T129,EGFP,0.435
T130,EGFP,0.789
T131,EGFP,0.79
T132,EGFP,0.681
T133,EGFP,0.674
T134,EGFP,0.454
T135,EGFP,0.53
T136,EGFP,0.587
T137,EGFP,0.384
T138,EGFP,0.131
T139,EGFP,0.218
T140,EGFP,0.485
T141,EGFP,0.407
T142,EGFP,0.06
T143,EGFP,0.043
T144,EGFP,0.324
T145,EGFP,0.038
T146,EGFP,0.354
T147,EGFP,0.208
T148,EGFP,0.047
T149,EGFP,0.388
T150,EGFP,0.196
T151,EGFP,0.168
T152,EGFP,0.462
T153,EGFP,0.276
T154,EGFP,0.307
T155,EGFP,0.56
T156,EGFP,0.463
T157,EGFP,0.18
T158,EGFP,0.085
T159,EGFP,0.288
T160,EGFP,0.264
T161,EGFP,0.237
T162,EGFP,0.15
T163,EGFP,0.084
T164,EGFP,0.051
T165,EGFP,0.292
T166,EGFP,0
T167,EGFP,0
T168,EGFP,0.228
T169,EGFP,0.253
T170,EGFP,0.309
T171,EGFP,0.243
T172,EGFP,0.713
T173,EGFP,0.51
T174,EGFP,0.439
T175,EGFP,0.204
T176,EGFP,0.339
T177,EGFP,0.265
T178,EGFP,0.372
T179,EGFP,0.424
T180,EGFP,0.507
T181,EGFP,0.57
T182,EGFP,0.518
T183,EGFP,0.471
T184,EGFP,0.661
T185,EGFP,0.418
T186,EGFP,0.3
T187,EGFP,0.452
T188,EGFP,0.568
T189,EGFP,0.743
T190,EGFP,0.671
T191,EGFP,0.558
T192,EGFP,0.48
T193,EGFP,0.563
T194,EGFP,0.58
T195,EGFP,0.601
T196,EGFP,0.557
T197,EGFP,0.701
T198,EGFP,0.597
T199,EGFP,0.565
T200,EGFP,0.621
T201,EGFP,0.591
T202,EGFP,0.718
T203,EGFP,0.507
T204,EGFP,0.795
T205,EGFP,0.902
T206,EGFP,0.82
T207,EGFP,0.736
T208,EGFP,0.812
T209,EGFP,0.871
T210,EGFP,0.58
T211,EGFP,0.586
T212,EGFP,0.763
T213,EGFP,0.601
T214,EGFP,0.366
T215,EGFP,0.584
T216,EGFP,0.373
T217,EGFP,0.336
T218,EGFP,0.447
T219,EGFP,0.444
T220,EGFP,0.407
T221,EGFP,0.448
T222,EGFP,0.397
T223,EGFP,0.309
T224,EGFP,0.628
T225,EGFP,0.327
T226,EGFP,0.405
T227,EGFP,0.508
T228,EGFP,0.624
T229,EGFP,0.501
T230,EGFP,0.707
T231,EGFP,0.672
T232,EGFP,0.645
T233,EGFP,0.827
T234,EGFP,0.662
T235,EGFP,0.674
T236,EGFP,0.635
T237,EGFP,0.647
T238,EGFP,0.51
T239,EGFP,0.529
T240,EGFP,0.635
T241,EGFP,0.778
T242,EGFP,0.765
T243,EGFP,0.782
T244,EGFP,0.758
T245,EGFP,0.521
T246,EGFP,0.44
T247,EGFP,0.568
T248,EGFP,0.589
T249,EGFP,0.514
T250,EGFP,0.312
T251,EGFP,0.439
T252,EGFP,0.51
T253,EGFP,0.374
T254,EGFP,0.472
T255,EGFP,0.488
T256,EGFP,0.408
T257,EGFP,0.471
T258,EGFP,0.866
T259,EGFP,0.461
T260,EGFP,0.677
T261,EGFP,0.619
T262,EGFP,0.676
T263,EGFP,0.558
T264,EGFP,0.373
T265,EGFP,0.176
T266,EGFP,0.53
T267,EGFP,0.394
T268,EGFP,0.442
T269,EGFP,0.379
T270,EGFP,0.439
T271,EGFP,0.383
T272,EGFP,0.508
T273,EGFP,0.432
T274,EGFP,0.687
T275,EGFP,0.574
T276,EGFP,0.452
T277,EGFP,0.374
T278,EGFP,0.678
T279,EGFP,0.54
T280,EGFP,0.79
T281,EGFP,0.682
T282,EGFP,0.564
T283,EGFP,0.568
T284,EGFP,0.938
T285,EGFP,0.609
T286,EGFP,0.726
T287,EGFP,0.748
T288,EGFP,0.499
T289,EGFP,0.705
T290,EGFP,0.792
T291,EGFP,0.571
T292,EGFP,0.604
T293,EGFP,0.827
T294,EGFP,0.402
T295,EGFP,0.377
T296,EGFP,0.292
T297,EGFP,0.314
T298,EGFP,0.447
T299,EGFP,0.691
T300,EGFP,0.575
T301,EGFP,0.54
T302,EGFP,0.721
T303,EGFP,0.471
T304,EGFP,0.634
T305,EGFP,0.625
T306,EGFP,0.532
T307,EGFP,0.579
T308,EGFP,0.448
T309,EGFP,0.804
T310,EGFP,0.7
T311,EGFP,0.693
T312,EGFP,0.496
T313,EGFP,0.506
T314,EGFP,0.478
T315,EGFP,0.534
T316,EGFP,0.346
T317,EGFP,0.54
T318,EGFP,0.748
T319,EGFP,0.522
T320,EGFP,0.589
T321,EGFP,0.449
T322,EGFP,0.476
T323,EGFP,0.793
T324,EGFP,0.719
T325,EGFP,0.575
T326,EGFP,0.549
T327,EGFP,0.281
T328,EGFP,0.766
T329,EGFP,0.874
T330,EGFP,0.666
T331,EGFP,0.474
T332,EGFP,0.651
T333,EGFP,0.401
T334,EGFP,0.581
T335,EGFP,0.76
T336,EGFP,0.681
T337,EGFP,0.69
T338,EGFP,0.665
T339,EGFP,0.518
T340,EGFP,0.386
T341,EGFP,0.537
T342,EGFP,0.59
T343,EGFP,0.269
T344,EGFP,0.326
T345,EGFP,0.253
T346,EGFP,0.393
T347,EGFP,0.556
T348,EGFP,0.443
T349,EGFP,0.62
